k,t_ms,ADC,Volt_V,Error,U_MPC,PWM,t_MPC_ms,Deadline_Miss,Anomaly
110,1100,2980,2.4015,59,5,0,0.963,0,0
111,1110,2976,2.3982,63,5,0,1.012,0,0
112,1120,2994,2.4127,45,5,0,0.893,0,0
113,1130,3014,2.4289,25,5,0,0.63,0,0
114,1140,3010,2.4256,29,5,0,9.657,1,0
115,1150,2993,2.4119,46,5,0,1.188,0,0
116,1160,2976,2.3982,63,5,0,0.931,0,0
117,1170,2944,2.3725,95,5,0,0.667,0,0
118,1180,2985,2.4055,54,5,0,1.142,0,0
119,1190,2993,2.4119,46,5,0,0.822,0,0
120,1200,2967,2.391,72,5,0,0.676,0,0
121,1210,2998,2.416,41,5,0,1.16,0,0
122,1220,2946,2.3741,93,5,0,1.139,0,0
123,1230,2964,2.3886,75,5,0,1.0,0,0
124,1240,2990,2.4095,49,5,0,1.13,0,0
125,1250,3001,2.4184,38,5,0,1.05,0,0
126,1260,2984,2.4047,55,5,0,1.119,0,0
127,1270,3028,2.4401,11,5,0,0.706,0,0
128,1280,2994,2.4127,45,5,0,1.042,0,0
129,1290,3047,2.4555,-8,5,0,0.847,0,0
130,1300,3038,2.4482,1,5,0,1.086,0,0
131,1310,3043,2.4522,-4,5,0,1.021,0,0
132,1320,2995,2.4136,44,5,0,1.115,0,0
133,1330,3043,2.4522,-4,5,0,1.151,0,0
134,1340,3040,2.4498,-1,5,0,1.077,0,0
135,1350,2985,2.4055,54,5,0,0.996,0,0
136,1360,2996,2.4144,43,5,0,1.119,0,0
137,1370,2991,2.4103,48,5,0,0.811,0,0
138,1380,3012,2.4273,27,5,0,1.189,0,0
139,1390,3026,2.4385,13,5,0,0.617,0,0
140,1400,2979,2.4007,60,5,0,0.707,0,0
141,1410,2978,2.3999,61,5,0,0.623,0,0
142,1420,2985,2.4055,54,5,0,1.037,0,0
143,1430,3004,2.4208,35,5,0,1.191,0,0
144,1440,3027,2.4393,12,5,0,0.946,0,0
145,1450,3021,2.4345,18,5,0,0.862,0,0
146,1460,3033,2.4442,6,5,0,0.923,0,0
147,1470,3036,2.4466,3,5,0,1.042,0,0
148,1480,3022,2.4353,17,5,0,0.642,0,0
149,1490,3022,2.4353,17,5,0,0.974,0,0
150,1500,3013,2.4281,26,5,0,1.032,0,0
151,1510,3041,2.4506,-2,5,0,1.0,0,0
152,1520,3079,2.4812,-40,5,0,0.777,0,0
153,1530,3074,2.4772,-35,5,0,0.999,0,0
154,1540,3108,2.5046,-69,5,0,1.142,0,0
155,1550,3094,2.4933,-55,5,0,0.844,0,0
156,1560,3107,2.5038,-68,5,0,0.772,0,0
157,1570,3138,2.5288,-99,5,0,0.964,0,0
158,1580,3142,2.532,-103,5,0,0.865,0,0
159,1590,3157,2.5441,-118,5,0,1.076,0,0
160,1600,3188,2.5691,-149,5,0,0.702,0,0
161,1610,3186,2.5675,-147,5,0,0.998,0,0
162,1620,3172,2.5562,-133,5,0,1.091,0,0
163,1630,3223,2.5973,-184,5,0,0.786,0,0
164,1640,3203,2.5812,-164,5,0,0.615,0,0
165,1650,3237,2.6086,-198,5,0,0.967,0,0
166,1660,3249,2.6182,-210,5,0,0.849,0,0
167,1670,3245,2.615,-206,5,0,1.031,0,0
168,1680,3271,2.636,-232,5,0,0.746,0,0
169,1690,3260,2.6271,-221,5,0,1.136,0,0
170,1700,3329,2.6827,-290,5,0,0.664,0,0
171,1710,3297,2.6569,-258,5,0,1.082,0,0
172,1720,3328,2.6819,-289,5,0,0.63,0,0
173,1730,3367,2.7133,-328,5,0,0.673,0,0
174,1740,3355,2.7037,-316,5,0,1.001,0,0
175,1750,3377,2.7214,-338,5,0,0.79,0,0
176,1760,3380,2.7238,-341,5,0,0.968,0,0
177,1770,3397,2.7375,-358,5,0,0.856,0,0
178,1780,3407,2.7456,-368,5,0,1.138,0,0
179,1790,3422,2.7577,-383,5,0,0.87,0,0
180,1800,3458,2.7867,-419,5,76,0.983,0,1
181,1810,3451,2.781,-412,5,76,0.891,0,1
182,1820,3460,2.7883,-421,5,76,0.646,0,1
183,1830,3462,2.7899,-423,5,76,0.802,0,1
184,1840,3463,2.7907,-424,5,76,0.683,0,1
185,1850,3515,2.8326,-476,5,76,0.692,0,1
186,1860,3510,2.8286,-471,5,76,0.845,0,1
187,1870,3524,2.8399,-485,5,76,0.637,0,1
188,1880,3535,2.8487,-496,5,76,1.143,0,1
189,1890,3568,2.8753,-529,5,76,0.612,0,1
190,1900,3573,2.8793,-534,5,76,9.028,1,1
191,1910,3599,2.9003,-560,5,76,0.834,0,1
192,1920,3617,2.9148,-578,5,76,0.851,0,1
193,1930,3611,2.91,-572,5,76,1.08,0,1
194,1940,3621,2.918,-582,5,76,0.732,0,1
195,1950,3604,2.9043,-565,5,76,0.833,0,1
196,1960,3668,2.9559,-629,5,76,0.843,0,1
197,1970,3659,2.9486,-620,5,76,1.152,0,1
198,1980,3677,2.9632,-638,5,76,0.616,0,1
199,1990,3692,2.9752,-653,5,76,0.998,0,1
200,2000,3697,2.9793,-658,5,76,0.681,0,1
201,2010,3659,2.9486,-620,5,76,0.756,0,1
202,2020,3679,2.9648,-640,5,76,0.796,0,1
203,2030,3666,2.9543,-627,5,76,0.767,0,1
204,2040,3658,2.9478,-619,5,76,0.751,0,1
205,2050,3618,2.9156,-579,5,76,1.049,0,1
206,2060,3660,2.9495,-621,5,76,0.81,0,1
207,2070,3629,2.9245,-590,5,76,1.174,0,1
208,2080,3560,2.8689,-521,5,76,1.17,0,1
209,2090,3540,2.8527,-501,5,76,0.973,0,1
210,2100,3553,2.8632,-514,5,76,1.002,0,1
211,2110,3523,2.839,-484,5,76,0.879,0,1
212,2120,3523,2.839,-484,5,76,0.701,0,1
213,2130,3540,2.8527,-501,5,76,1.031,0,1
214,2140,3497,2.8181,-458,5,76,1.179,0,1
215,2150,3482,2.806,-443,5,76,1.157,0,1
216,2160,3530,2.8447,-491,5,76,1.175,0,1
217,2170,3505,2.8245,-466,5,76,0.719,0,1
218,2180,3497,2.8181,-458,5,76,0.976,0,1
219,2190,3474,2.7996,-435,5,76,0.781,0,1
220,2200,3455,2.7842,-416,5,76,0.673,0,1
221,2210,3434,2.7673,-395,5,0,0.625,0,0
222,2220,3408,2.7464,-369,5,0,0.822,0,0
223,2230,3371,2.7166,-332,5,0,0.608,0,0
224,2240,3370,2.7158,-331,5,0,0.663,0,0
225,2250,3371,2.7166,-332,5,0,1.135,0,0
226,2260,3333,2.6859,-294,5,0,0.861,0,0
227,2270,3359,2.7069,-320,5,0,0.762,0,0
228,2280,3345,2.6956,-306,5,0,1.065,0,0
229,2290,3353,2.7021,-314,5,0,1.039,0,0
230,2300,3341,2.6924,-302,5,0,0.747,0,0
231,2310,3287,2.6489,-248,5,0,1.129,0,0
232,2320,3279,2.6424,-240,5,0,0.942,0,0
233,2330,3250,2.619,-211,5,0,0.617,0,0
234,2340,3221,2.5957,-182,5,0,0.893,0,0
235,2350,3209,2.586,-170,5,0,0.804,0,0
236,2360,3223,2.5973,-184,5,0,1.128,0,0
237,2370,3202,2.5804,-163,5,0,1.169,0,0
238,2380,3208,2.5852,-169,5,0,0.844,0,0
239,2390,3171,2.5554,-132,5,0,1.014,0,0
240,2400,3180,2.5626,-141,5,0,0.869,0,0
241,2410,3159,2.5457,-120,5,0,0.733,0,0
242,2420,3148,2.5368,-109,5,0,0.998,0,0
243,2430,3149,2.5377,-110,5,0,0.919,0,0
244,2440,3142,2.532,-103,5,0,0.93,0,0
245,2450,3104,2.5014,-65,5,0,0.763,0,0
246,2460,3061,2.4667,-22,5,0,1.033,0,0
247,2470,3083,2.4845,-44,5,0,0.922,0,0
248,2480,3031,2.4426,8,5,0,0.715,0,0
249,2490,3025,2.4377,14,5,0,1.035,0,0
250,2500,3032,2.4434,7,5,0,0.958,0,0
251,2510,3043,2.4522,-4,5,0,0.716,0,0
252,2520,2982,2.4031,57,5,0,0.781,0,0
253,2530,2960,2.3853,79,5,0,0.765,0,0
254,2540,2968,2.3918,71,5,0,0.775,0,0
255,2550,2955,2.3813,84,5,0,1.121,0,0
256,2560,2951,2.3781,88,5,0,0.607,0,0
257,2570,2907,2.3426,132,5,0,0.864,0,0
258,2580,2861,2.3056,178,5,0,0.751,0,0
259,2590,2846,2.2935,193,5,0,1.093,0,0
260,2600,2825,2.2766,214,5,0,0.946,0,0
261,2610,2811,2.2653,228,5,0,0.69,0,0
262,2620,2802,2.258,237,5,0,0.651,0,0
263,2630,2799,2.2556,240,5,0,1.059,0,0
264,2640,2796,2.2532,243,5,0,0.971,0,0
265,2650,2751,2.2169,288,5,0,0.87,0,0
266,2660,2763,2.2266,276,5,0,0.953,0,0
267,2670,2725,2.196,314,5,0,0.973,0,0
268,2680,2717,2.1895,322,5,0,0.66,0,0
269,2690,2692,2.1694,347,5,0,0.727,0,0
270,2700,2643,2.1299,396,5,0,0.744,0,0
271,2710,2624,2.1146,415,5,0,0.602,0,0
272,2720,2633,2.1218,406,5,0,0.882,0,0
273,2730,2595,2.0912,444,5,76,1.024,0,1
274,2740,2587,2.0848,452,5,76,0.643,0,1
275,2750,2555,2.059,484,5,76,1.073,0,1
276,2760,2562,2.0646,477,5,76,1.082,0,1
277,2770,2508,2.0211,531,5,76,0.927,0,1
278,2780,2541,2.0477,498,5,76,0.759,0,1
279,2790,2467,1.9881,572,5,76,0.7,0,1
280,2800,2492,2.0082,547,5,76,1.095,0,1
281,2810,2454,1.9776,585,5,76,0.675,0,1
282,2820,2452,1.976,587,5,76,0.842,0,1
283,2830,2423,1.9526,616,5,76,0.896,0,1
284,2840,2372,1.9115,667,5,76,1.134,0,1
285,2850,2389,1.9252,650,5,76,0.75,0,1
286,2860,2375,1.9139,664,5,76,1.102,0,1
287,2870,2374,1.9131,665,5,76,0.612,0,1
288,2880,2347,1.8914,692,5,76,0.762,0,1
289,2890,2324,1.8728,715,5,76,0.705,0,1
290,2900,2285,1.8414,754,5,76,1.15,0,1
291,2910,2276,1.8341,763,5,76,0.862,0,1
292,2920,2225,1.793,814,5,76,0.882,0,1
293,2930,2221,1.7898,818,5,76,1.002,0,1
294,2940,2203,1.7753,836,5,76,0.847,0,1
295,2950,2205,1.7769,834,5,76,1.167,0,1
296,2960,2180,1.7568,859,5,76,0.622,0,1
297,2970,2142,1.7262,897,5,76,0.794,0,1
298,2980,2132,1.7181,907,5,76,1.119,0,1
299,2990,2088,1.6826,951,5,76,0.995,0,1
300,3000,2096,1.6891,943,5,76,0.633,0,1
